"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista Wysocki Coffee Kenia Rungeto Kiangoi 250g","Jasno palona kenijska arabika Single Origin, która jest przeznaczona do przelewowych metod parzenia kawy. Wysocki Kenia Rungeto Kiangoi posiada kwaskowy smak z nutą rabarbaru, czerwonej porzeczki, cytryny i karmelu.",55,"WYSOCKI COFFEE",5,14," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czerwone winogrona Cytryna Karmel Rabarbar",0.6,0.2,0.6,0.6," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",18.7082869338697
"Kawa ziarnista Wysocki Coffee Brazilian Roast 1kg","Średnio palona brazylijska arabika, która jest przeznaczona do parzenia metodami ciśnieniowymi. Wysocki Coffee posiada przyjemny słodki smak wyczuwalną nutą czekolady, orzechów, migdałów i kakao.",109.99,"WYSOCKI COFFEE",4.91,117," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Kakao Orzechy Migdały Marcepan",1,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",1000,0.10999,"Premium (0.1 - 0.2)",53.1097702875846
"Kawa ziarnista Wysocki Coffee Brazilian Roast 500g","Średnio palona brazylijska arabika, która jest przeznaczona do parzenia metodami ciśnieniowymi. Wysocki Coffee posiada przyjemny słodki smak wyczuwalną nutą czekolady, orzechów, migdałów i kakao.",39.99,"WYSOCKI COFFEE",4.88,50," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Kakao Orzechy Migdały Marcepan",1,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",500,0.07998,"Mid-range (0.05 - 0.1)",34.5068109219035
"Kawa ziarnista Etno Cafe Meksyk Decaf 250g","Średnio palona jednorodna arabika z Meksyku, która jest przeznaczona do ciśnieniowych metod parzenia. Meksyk Decaf to kawa bezkofeinowa do delikatnie słodkim smaku, w której wyczujemy rodzynki, gorzką czekoladę i śliwkę.",37,"ETNO CAFE",5,4," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada Śliwka Przyprawy Rodzynki",0.6,0.2,0.2,1," Meksyk"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.148,"Premium (0.1 - 0.2)",10
"Kawa ziarnista Davidoff Espresso 57 Intense 500g","Ciemno palona mieszanka arabiki z Ameryki Południowej i Środkowej przeznaczona do ciśnieniowych metod parzenia. Davidoff Espresso 57 Intense posiada wyrazisty smak, w którym wyczujemy delikatną czekoladową nutę.",46.99,"DAVIDOFF CAFE",4.71,17," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada",1,0.6,0.6,0.2," Ameryka Środkowa Ameryka Południowa"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",500,0.09398,"Mid-range (0.05 - 0.1)",19.4198274966592
"Kawa ziarnista Tchibo Espresso Sicilia Style 1kg","Mieszanka arabiki i robusty wypalona w prawdziwie sycylijskim stylu. Tchibo Espresso Sicilia Style charakteryzuje się intensywnym smakiem z wyraźnym posmakiem goryczy i wyrazistym aromatem.",49.99,"TCHIBO",5,13," 80% Arabika, 20% Robusta"," Ciemny"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,1,0.6,0.2,0.2,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.04999,"Budget (< 0.05)",18.0277563773199
"Kawa ziarnista Tchibo Barista Caffé Crema 1kg","Średnio palona kawa ziarnista przeznaczona do ekspresów automatycznych i kolbowych. Tchibo Barista Caffe Crema posiada łagodny smak z wyczuwalną goryczą i wyraźną owocową nutą.",64.99,"TCHIBO",4.98,118," 100% Arabika"," Średni"," Niska"," Kawa ziarnista",NA," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,0.6,0.6,0.2,0.6,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.06499,"Mid-range (0.05 - 0.1)",54.0966468461771
"Kawa ziarnista Bazzara GUSTOITALIANO 250g","Mieszanka ziaren robusty pochodzących z Wietnamu oraz Indii. Jest to kawa o niezwykle intensywnym smaku, która idealnie komponuje się z mlekiem. Wysoka zawartość kofeiny skutecznie pobudzi nas o poranku.",25.99,"BAZZARA",4.89,28," 100% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu kolbowego Do kawiarki Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Migdały Przyprawy",1,1,0.2,0.2," Indie Wietnam"," Blend / Mieszanki"," Cappuccino Latte",NA,250,0.10396,"Premium (0.1 - 0.2)",25.8754478222117
"Kawa ziarnista Bazzara GRANCAPPUCCINO 250g","Bazzara GranCappuccino to doskonała kawa ziarnista, idealnie skomponowana mieszanka ziaren arabiki z niewielką domieszką robusty. W jej smaku możemy wyczuć słodkie nuty przypominające owoce, zaś aromat przypomina zapach kwiatów.",36.99,"BAZZARA",4.81,27," 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu kolbowego Do kawiarki Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Gęsta"," Kwiaty Słodkie owoce Korzeń imbiru",0.6,0.6,0.6,0.6," Brazylia Indie Kolumbia Kostaryka"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.14796,"Premium (0.1 - 0.2)",24.9934931532189
"Kawa ziarnista Bazzara DOLCEVIVACE 250g","Bazzara Dolcevivace to doskonale zrównoważona mieszanka kawy ziarnistej o wspaniałym aromacie przypominającym zapach owoców i prażonych orzeszków ziemnych. Skład: 50% Arabica, 50% Robusta",29.99,"BAZZARA",4.96,51," 50% Arabika, 50% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu kolbowego Do kawiarki Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Miód Owoce kandyzowane",1,1,0.6,0.6," Brazylia Indie Wietnam"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.11996,"Premium (0.1 - 0.2)",35.4214850055725
"Kawa ziarnista Bazzara PIACEREPURO 250g","Bazzara Piacerepuro to kawa ziarnista dla najbardziej wymagających konsumentów. 100% mieszanka ziaren Arabiki Gourmet pochodzących z Azji i południowej Ameryki. Skład: 100% Arabica Gourmet",39.99,"BAZZARA",5,36," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu kolbowego Do kawiarki Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy Rodzynki Kakao",0.6,0.6,0.6,0.6," Brazylia Kolumbia Indie"," Blend / Mieszanki"," Espresso Kawa czarna",NA,250,0.15996,"Premium (0.1 - 0.2)",30
"Kawa ziarnista Bazzara AROMAMORE 250g","W smaku wyczuwalne kwaskawe nutki, które nadają świeżości kawie i tworzą wspaniały, intensywny aromat przypominający zapach kakao i suszonej moreli. Kawa pozostawia po sobie miłe wrażenia smakowe. Skład: 70% Arabica, 30% Robusta",32.99,"BAZZARA",4.94,33," 70% Arabika, 30% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny",NA," Karmel Orzechy Suszona morela",1,0.6,0.6,0.6," Indie Brazylia Kolumbia Kostaryka"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.13196,"Premium (0.1 - 0.2)",28.3781394738979
"Kawa ziarnista Quba Caffe No.10 250g","Stuprocentowa robusta wysokiej jakości, której ziarna pochodzą z Rwandy. Quba Caffe No.10 to kawa o wysokiej zawartości kofeiny oraz intensywnym smaku, w którym dominuje wyraźna słodycz.",39.99,"QUBA CAFFE",5,8," 100% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy Kakao Wanilia Migdały",1,0.6,0.2,1," Rwanda"," Single / Jednorodne"," Cappuccino Espresso Kawa czarna Latte"," Nie",250,0.15996,"Premium (0.1 - 0.2)",14.142135623731
"Kawa ziarnista Quba Caffe No.10 1kg","Stuprocentowa robusta jakości specialty, której ziarna pochodzą z Rwandy. Quba Caffe No.10 to kawa o wysokiej zawartości kofeiny oraz intensywnym smaku, w którym dominuje wyraźna słodycz.",118.99,"QUBA CAFFE",5,13," 100% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy Kakao Wanilia Migdały",1,0.6,0.2,1," Rwanda"," Single / Jednorodne"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.11899,"Premium (0.1 - 0.2)",18.0277563773199
"Kawa ziarnista Quba Caffe No.5 1kg","Wysokiej jakości stuprocentowa mieszanka brazylijskiej arabiki, która sprawdzi się w ekspresach ciśnieniowych. Quba Caffe No.5 posiada słodki smak z wyczuwalnymi nutami czekolady, masła orzechowego, nugatu i kakao.",97.99,"QUBA CAFFE",4.56,9," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Masło orzechowe Nugat Kakao Czekolada",0.6,0.6,0.2,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",1000,0.09799,"Mid-range (0.05 - 0.1)",13.68
"Kawa ziarnista Bristot Arabica Gourmet 500g","Średnio palona stuprocentowa arabika, która jest polecana do przygotowania espresso z ekspresu ciśnieniowego. Bristot Arabica Gourmet posiada słodki smak z wyczuwalną nutą brązowego cukru, suszonych owoców i prażonych orzechów.",51.9,"BRISTOT",4.86,14," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Prażone orzechy Cukier trzcinowy Suszone owoce",0.6,0.2,0.6,1,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",500,0.1038,"Premium (0.1 - 0.2)",18.1844548997214
"Kawa ziarnista Bristot Espresso 400g","Średnio palone ziarna arabiki z Brazylii i robusty z Indii o średniej zawartości kofeiny. Kawa ziarnista Bristot Espresso posiada intensywny smak z wyraźną nutą goryczy i sprawdzi się jako kawa do kawiarki.",31.9,"BRISTOT",5,3," 40% Arabika, 60% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 400g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,1,0.6,0.2,0.6," Brazylia Indie"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",400,0.07975,"Mid-range (0.05 - 0.1)",8.66025403784439
"Kawa ziarnista Bristot 100% Arabica 400g","Średnio palona stuprocentowa arabika, która jest mieszanką ziaren z Brazylii, Indii, Kolumbii i Gwatemali. Kawa ziarnista Bristot 100% Arabica posiada przyjemny słodki smak i najlepiej sprawdzi się jako kawa czarna.",36.9,"BRISTOT",4.73,11," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 400g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada Owoce Cytryna",0.6,NA,0.6,0.6," Brazylia Gwatemala Kolumbia Indie"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",400,0.09225,"Mid-range (0.05 - 0.1)",15.687635258381
"ZESTAW - Kawa ziarnista Costa Coffee Colombian Roast 3x500g","Kolumbijska arabika Single Origin, która posiada przyjemnie słodki smak karmelu, miodu i pomarańczy. Costa Coffee Colombian Roast jest polecana do przygotowania espresso z ekspresu ciśnieniowego.",100.77,"COSTA COFFEE",5,3," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Anglia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Miód Owoce",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",1500,0.06718,"Mid-range (0.05 - 0.1)",8.66025403784439
"Kawa ziarnista Coffeelab Continental Blend 250g","Mieszanka wysokiej jakośći arabiki z Kolumbii i Hondurasu, która została wypalona pod espresso. Coffeelab Continental Blend posiada przyjemnie słodki smak z wyczuwalną nutąkwasowości.",30,"COFFEELAB",4,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarki Do kawiarni"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada",NA,0.2,0.6,0.6," Honduras Kolumbia"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",250,0.12,"Premium (0.1 - 0.2)",5.65685424949238
"Kawa ziarnista Coffeelab Continental Blend 1kg","Mieszanka wysokiej jakośći arabiki z Kolumbii i Hondurasu, która została wypalona pod espresso. Coffeelab Continental Blend posiada przyjemnie słodki smak z wyczuwalną nutąkwasowości.",109,"COFFEELAB",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarki Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada",NA,0.2,0.6,0.6," Honduras Kolumbia"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.109,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Mott Coffee Tarrazu Yellow Honey 250g","Średnio palona stuprocentowa kostarykańska arabika, która jest przeznaczona do parzenia w ekspresach ciśnieniowych. Mott Coffee Tarrazu Yellow Honey posiada orzeźwiający smak z wyraźną nutą cytrusów.",34.99,"MOTT COFFEE",4.94,47," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Owoce cytrusowe",0.6,0.2,1,0.2," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.13996,"Premium (0.1 - 0.2)",33.8669337259812
"Kawa ziarnista Mott Coffee Coto Brus White Honey 250g","Średnio palona stuprocentowa kostarykańska arabika, która jest przeznaczona do parzenia w ekspresach ciśnieniowych. Mott Coffee Coto Brus White Honey posiada przyjemny słodki smak z wyczuwalną nutą czekolady.",33.99,"MOTT COFFEE",4.74,38," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czekolada",0.6,0.2,0.2,1," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.13596,"Premium (0.1 - 0.2)",29.2193223740729
"Kawa ziarnista Mott Coffee Coto Brus Red Honey 250g","Średnio palona stuprocentowa kostarykańska arabika, która jest przeznaczona do parzenia w ekspresach ciśnieniowych. Mott Coffee Coto Brus Red Honey posiada przyjemny owocowy smak z wyczuwalną nutą brzoskwini.",35.99,"MOTT COFFEE",5,10," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Owoce Brzoskwinie",0.6,0.2,0.2,1," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.14396,"Premium (0.1 - 0.2)",15.8113883008419
"Kawa ziarnista Mott Coffee Coto Brus Natural 250g","Średnio palona stuprocentowa kostarykańska arabika, która jest przeznaczona do parzenia w ekspresach ciśnieniowych. Mott Coffee Coto Brus Natural posiada przyjemny owocowy smak z wyczuwalną nutą czereśni.",38.99,"MOTT COFFEE",4.79,19," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Słodkie owoce Czereśnie",0.6,0.2,0.6,1," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.15596,"Premium (0.1 - 0.2)",20.8791259395598
"Kawa ziarnista Simon Levelt Honduras Red Honey 1kg","Ciemno palone ziarna arabiki pochodzące z plantacji Hondurasu, które są przeznaczone do metod ciśnieniowych. Simon Levelt Honduras Red Honey posiada zrównoważony smak z wyczuwalnymi nutami owoców i gorzkiej czekolady.",174.99,"SIMON LEVELT",4.5,2," 100% Arabika"," Ciemny"," Niska"," Kawa ziarnista"," Holandia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Owoce Gorzka czekolada",0.6,0.6,0.2,0.6," Honduras"," Single / Jednorodne"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.17499,"Premium (0.1 - 0.2)",6.36396103067893
"Kawa ziarnista Simon Levelt Gayo Blue Mountain 1kg","Średnio palona stuprocentowa arabika, która pochodzi z sumatrzańskich plantacji i jest przeznaczona do metod ciśnieniowych. Simon Levelt Gayo Blue Mountain posiada goryczkowy smak z wyczuwalną nutą drzewno-ziemistą.",162.99,"SIMON LEVELT",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Holandia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała",NA,0.6,0.6,0.2,0.2," Indonezja"," Single / Jednorodne"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.16299,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Simon Levelt Originale 1kg","Średnio palona mieszanka arabiki z Ameryki Łacińskiej i robubsty z Ugandy. Simon Levelt Originale to intensywna w smaku kawa, która jest przeznaczona do przygotowania espresso.",130.99,"SIMON LEVELT",0,0," Arabika, Robusta"," Średni"," Niska"," Kawa ziarnista"," Holandia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada Orzechy",0.6,0.6,0.2,0.2," Ameryka Środkowa Ameryka Południowa Uganda"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.13099,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Simon Levelt Ethiopia Mocha Limu 1kg","Średnio palona 100% etiopska arabika odmiay Heirloom, która jest przeznaczona do espresso. Simon Levelt Ethiopia Mocha Limu posiada orzeźwiający smak z wyczuwalną nutą owoców cytrusowych.",157.99,"SIMON LEVELT",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Holandia"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Owoce cytrusowe",0.6,0.2,0.6,0.6," Etiopia"," Single / Jednorodne"," Cappuccino Espresso Kawa czarna Latte"," Nie",1000,0.15799,"Premium (0.1 - 0.2)",5
